,id,full_name,first_name,last_name,is_active
0,1630173,Precious Achiuwa,Precious,Achiuwa,True
1,203500,Steven Adams,Steven,Adams,True
2,1628389,Bam Adebayo,Bam,Adebayo,True
3,1630534,Ochai Agbaji,Ochai,Agbaji,True
4,1630583,Santi Aldama,Santi,Aldama,True
5,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
6,1628960,Grayson Allen,Grayson,Allen,True
7,1628386,Jarrett Allen,Jarrett,Allen,True
8,1630631,Jose Alvarado,Jose,Alvarado,True
9,203937,Kyle Anderson,Kyle,Anderson,True
10,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
11,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
12,1630175,Cole Anthony,Cole,Anthony,True
13,1628384,O.G. Anunoby,O.G.,Anunoby,True
14,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
15,1630166,Deni Avdija,Deni,Avdija,True
16,1629028,Deandre Ayton,Deandre,Ayton,True
17,1628962,Udoka Azubuike,Udoka,Azubuike,True
18,1630641,Ibou Badji,Ibou,Badji,True
19,1628963,Marvin Bagley III,Marvin,Bagley III,True
20,1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,True
21,1630163,LaMelo Ball,LaMelo,Ball,True
22,1628366,Lonzo Ball,Lonzo,Ball,True
23,1628964,Mo Bamba,Mo,Bamba,True
24,1631094,Paolo Banchero,Paolo,Banchero,True
25,1630217,Desmond Bane,Desmond,Bane,True
26,1630625,Dalano Banton,Dalano,Banton,True
27,1631230,Dominick Barlow,Dominick,Barlow,True
28,203084,Harrison Barnes,Harrison,Barnes,True
29,1630567,Scottie Barnes,Scottie,Barnes,True
30,1629628,RJ Barrett,RJ,Barrett,True
31,203115,Will Barton,Will,Barton,True
32,1629646,Charles Bassey,Charles,Bassey,True
33,1628966,Keita Bates-Diop,Keita,Bates-Diop,True
34,201587,Nicolas Batum,Nicolas,Batum,True
35,1629647,Darius Bazley,Darius,Bazley,True
36,203078,Bradley Beal,Bradley,Beal,True
37,1627736,Malik Beasley,Malik,Beasley,True
38,1630699,MarJon Beauchamp,MarJon,Beauchamp,True
39,202722,Davis Bertans,Davis,Bertans,True
40,201976,Patrick Beverley,Patrick,Beverley,True
41,1630180,Saddiq Bey,Saddiq,Bey,True
42,203920,Khem Birch,Khem,Birch,True
43,1629048,Goga Bitadze,Goga,Bitadze,True
44,202687,Bismack Biyombo,Bismack,Biyombo,True
45,1631205,Buddy Boeheim,Buddy,Boeheim,True
46,203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
47,202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
48,1629626,Bol Bol,Bol,Bol,True
49,1630195,Leandro Bolmaro,Leandro,Bolmaro,True
50,1626164,Devin Booker,Devin,Booker,True
51,1630527,Brandon Boston Jr.,Brandon,Boston Jr.,True
52,1628449,Chris Boucher,Chris,Boucher,True
53,1630547,James Bouknight,James,Bouknight,True
54,1631123,Jamaree Bouyea,Jamaree,Bouyea,True
55,1628396,Tony Bradley,Tony,Bradley,True
56,1631103,Malaki Branham,Malaki,Branham,True
57,1629714,Jarrell Brantley,Jarrell,Brantley,True
58,1631128,Christian Braun,Christian,Braun,True
59,1628969,Mikal Bridges,Mikal,Bridges,True
60,1629052,Oshae Brissett,Oshae,Brissett,True
61,1627763,Malcolm Brogdon,Malcolm,Brogdon,True
62,1628415,Dillon Brooks,Dillon,Brooks,True
63,1628971,Bruce Brown,Bruce,Brown,True
64,1627759,Jaylen Brown,Jaylen,Brown,True
65,1631112,Kendall Brown,Kendall,Brown,True
66,1629650,Moses Brown,Moses,Brown,True
67,1628425,Sterling Brown,Sterling,Brown,True
68,1630535,Greg Brown III,Greg,Brown III,True
69,1628972,Troy Brown Jr.,Troy,Brown Jr.,True
70,1628973,Jalen Brunson,Jalen,Brunson,True
71,1628418,Thomas Bryant,Thomas,Bryant,True
72,203493,Reggie Bullock,Reggie,Bullock,True
73,202692,Alec Burks,Alec,Burks,True
74,1629126,Deonte Burton,Deonte,Burton,True
75,1630215,Jared Butler,Jared,Butler,True
76,202710,Jimmy Butler,Jimmy,Butler,True
77,1631219,John Butler Jr.,John,Butler Jr.,True
78,1631288,Jamal Cain,Jamal,Cain,True
79,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
80,1630267,Facundo Campazzo,Facundo,Campazzo,True
81,1628427,Vlatko Cancar,Vlatko,Cancar,True
82,203991,Clint Capela,Clint,Capela,True
83,1630176,Vernon Carey Jr.,Vernon,Carey Jr.,True
84,1628975,Jevon Carter,Jevon,Carter,True
85,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
86,203487,Michael Carter-Williams,Michael,Carter-Williams,True
87,1627936,Alex Caruso,Alex,Caruso,True
88,1630577,Julian Champagnie,Julian,Champagnie,True
89,1630551,Justin Champagnie,Justin,Champagnie,True
90,1631113,Kennedy Chandler,Kennedy,Chandler,True
91,1631108,Max Christie,Max,Christie,True
92,1630528,Josh Christopher,Josh,Christopher,True
93,1629634,Brandon Clarke,Brandon,Clarke,True
94,203903,Jordan Clarkson,Jordan,Clarkson,True
95,1629651,Nic Claxton,Nic,Claxton,True
96,1629599,Amir Coffey,Amir,Coffey,True
97,1628381,John Collins,John,Collins,True
98,1628380,Zach Collins,Zach,Collins,True
99,201144,Mike Conley,Mike,Conley,True
100,1626192,Pat Connaughton,Pat,Connaughton,True
101,1641645,Xavier Cooks,Xavier,Cooks,True
102,203496,Robert Covington,Robert,Covington,True
